stanford dogs model Training Results:
Epoch  1 | Train Acc: 0.0286 | Val Acc: 0.0106 | Train Loss: 4.6591 | Val Loss: 4.7883
Epoch  2 | Train Acc: 0.0553 | Val Acc: 0.0135 | Train Loss: 4.2906 | Val Loss: 4.9150
Epoch  3 | Train Acc: 0.0943 | Val Acc: 0.0139 | Train Loss: 3.9961 | Val Loss: 5.2790
Epoch  4 | Train Acc: 0.1299 | Val Acc: 0.0632 | Train Loss: 3.7146 | Val Loss: 4.2744
Epoch  5 | Train Acc: 0.1698 | Val Acc: 0.1289 | Train Loss: 3.4750 | Val Loss: 3.7458
Epoch  6 | Train Acc: 0.2045 | Val Acc: 0.1226 | Train Loss: 3.2605 | Val Loss: 3.9014
Epoch  7 | Train Acc: 0.2350 | Val Acc: 0.1080 | Train Loss: 3.0885 | Val Loss: 4.1538
Epoch  8 | Train Acc: 0.2644 | Val Acc: 0.1788 | Train Loss: 2.9188 | Val Loss: 3.4623
Epoch  9 | Train Acc: 0.2942 | Val Acc: 0.1466 | Train Loss: 2.7800 | Val Loss: 3.7383
Epoch 10 | Train Acc: 0.3282 | Val Acc: 0.1728 | Train Loss: 2.6449 | Val Loss: 3.4286
Epoch 11 | Train Acc: 0.3464 | Val Acc: 0.1814 | Train Loss: 2.5149 | Val Loss: 3.5344
Epoch 12 | Train Acc: 0.3770 | Val Acc: 0.2066 | Train Loss: 2.3902 | Val Loss: 3.3288
Epoch 13 | Train Acc: 0.4019 | Val Acc: 0.2445 | Train Loss: 2.2874 | Val Loss: 3.0140
Epoch 14 | Train Acc: 0.4294 | Val Acc: 0.2014 | Train Loss: 2.1604 | Val Loss: 3.3305
Epoch 15 | Train Acc: 0.4571 | Val Acc: 0.1681 | Train Loss: 2.0535 | Val Loss: 3.9111
Epoch 16 | Train Acc: 0.4790 | Val Acc: 0.1739 | Train Loss: 1.9490 | Val Loss: 3.5781
Epoch 17 | Train Acc: 0.5019 | Val Acc: 0.2393 | Train Loss: 1.8595 | Val Loss: 3.2596
Epoch 18 | Train Acc: 0.5191 | Val Acc: 0.1615 | Train Loss: 1.7714 | Val Loss: 4.1540
Epoch 19 | Train Acc: 0.6049 | Val Acc: 0.3497 | Train Loss: 1.4802 | Val Loss: 2.5319
Epoch 20 | Train Acc: 0.6423 | Val Acc: 0.3538 | Train Loss: 1.3740 | Val Loss: 2.4826
Epoch 21 | Train Acc: 0.6519 | Val Acc: 0.3669 | Train Loss: 1.3259 | Val Loss: 2.4430
Epoch 22 | Train Acc: 0.6675 | Val Acc: 0.3821 | Train Loss: 1.2806 | Val Loss: 2.4118
Epoch 23 | Train Acc: 0.6756 | Val Acc: 0.3864 | Train Loss: 1.2396 | Val Loss: 2.3626
