Experiment 2:replace only the output layer of the model:

Epoch  1 | Train Acc: 0.5157 | Val Acc: 0.5651 | Train Loss: 71.5375 | Val Loss: 20.1902
Epoch  2 | Train Acc: 0.5313 | Val Acc: 0.5965 | Train Loss: 61.6392 | Val Loss: 16.1152
Epoch  3 | Train Acc: 0.5420 | Val Acc: 0.6130 | Train Loss: 54.1929 | Val Loss: 14.2537
Epoch  4 | Train Acc: 0.5448 | Val Acc: 0.6221 | Train Loss: 47.7849 | Val Loss: 12.8794
Epoch  5 | Train Acc: 0.5565 | Val Acc: 0.6360 | Train Loss: 42.5457 | Val Loss: 11.3343
Epoch  6 | Train Acc: 0.5664 | Val Acc: 0.6628 | Train Loss: 36.0153 | Val Loss: 9.1384
Epoch  7 | Train Acc: 0.5702 | Val Acc: 0.6696 | Train Loss: 30.9772 | Val Loss: 8.4987
Epoch  8 | Train Acc: 0.5735 | Val Acc: 0.6871 | Train Loss: 26.6445 | Val Loss: 7.0374
Epoch  9 | Train Acc: 0.5851 | Val Acc: 0.6982 | Train Loss: 22.4978 | Val Loss: 6.6277
Epoch 10 | Train Acc: 0.5917 | Val Acc: 0.6930 | Train Loss: 19.3394 | Val Loss: 5.9721
Epoch 11 | Train Acc: 0.6002 | Val Acc: 0.7049 | Train Loss: 16.2965 | Val Loss: 5.2308
Epoch 12 | Train Acc: 0.6147 | Val Acc: 0.7121 | Train Loss: 13.0094 | Val Loss: 4.7245
Epoch 13 | Train Acc: 0.6071 | Val Acc: 0.6797 | Train Loss: 11.5948 | Val Loss: 4.7246
Epoch 14 | Train Acc: 0.6198 | Val Acc: 0.7202 | Train Loss: 9.3188 | Val Loss: 3.6669
Epoch 15 | Train Acc: 0.6229 | Val Acc: 0.7121 | Train Loss: 7.8344 | Val Loss: 3.2774
Epoch 16 | Train Acc: 0.6263 | Val Acc: 0.7204 | Train Loss: 6.6199 | Val Loss: 3.0270
Epoch 17 | Train Acc: 0.6370 | Val Acc: 0.7230 | Train Loss: 5.4077 | Val Loss: 2.4459
Epoch 18 | Train Acc: 0.6423 | Val Acc: 0.7220 | Train Loss: 4.6565 | Val Loss: 2.2052
Epoch 19 | Train Acc: 0.6446 | Val Acc: 0.6771 | Train Loss: 3.8675 | Val Loss: 2.2830
Epoch 20 | Train Acc: 0.6445 | Val Acc: 0.7246 | Train Loss: 3.3557 | Val Loss: 1.7502
Epoch 21 | Train Acc: 0.6478 | Val Acc: 0.7190 | Train Loss: 2.9077 | Val Loss: 1.5653
Epoch 22 | Train Acc: 0.6544 | Val Acc: 0.7172 | Train Loss: 2.4776 | Val Loss: 1.3741
Epoch 23 | Train Acc: 0.6524 | Val Acc: 0.7246 | Train Loss: 2.1660 | Val Loss: 1.1968
Epoch 24 | Train Acc: 0.6509 | Val Acc: 0.6728 | Train Loss: 1.9798 | Val Loss: 1.3464
Epoch 25 | Train Acc: 0.6496 | Val Acc: 0.7254 | Train Loss: 1.7433 | Val Loss: 1.0008
Epoch 26 | Train Acc: 0.6587 | Val Acc: 0.6747 | Train Loss: 1.4671 | Val Loss: 1.0620
Epoch 27 | Train Acc: 0.6549 | Val Acc: 0.6648 | Train Loss: 1.3609 | Val Loss: 1.0033
Epoch 28 | Train Acc: 0.6562 | Val Acc: 0.7015 | Train Loss: 1.1940 | Val Loss: 0.8104
Epoch 29 | Train Acc: 0.6636 | Val Acc: 0.7270 | Train Loss: 1.1142 | Val Loss: 0.7312
Epoch 30 | Train Acc: 0.6549 | Val Acc: 0.6241 | Train Loss: 1.0612 | Val Loss: 1.1952
Epoch 31 | Train Acc: 0.6522 | Val Acc: 0.5612 | Train Loss: 1.0281 | Val Loss: 1.4540
Epoch 32 | Train Acc: 0.6512 | Val Acc: 0.6039 | Train Loss: 0.9980 | Val Loss: 1.0165
Epoch 33 | Train Acc: 0.6531 | Val Acc: 0.7244 | Train Loss: 0.9055 | Val Loss: 0.6316
Epoch 34 | Train Acc: 0.6575 | Val Acc: 0.6743 | Train Loss: 0.8472 | Val Loss: 0.7144
Epoch 35 | Train Acc: 0.6619 | Val Acc: 0.6797 | Train Loss: 0.7906 | Val Loss: 0.6661
Epoch 36 | Train Acc: 0.6479 | Val Acc: 0.6602 | Train Loss: 0.8434 | Val Loss: 0.8085
Epoch 37 | Train Acc: 0.6539 | Val Acc: 0.6334 | Train Loss: 0.8158 | Val Loss: 0.7581
Epoch 38 | Train Acc: 0.6577 | Val Acc: 0.7184 | Train Loss: 0.7841 | Val Loss: 0.6370
Epoch 39 | Train Acc: 0.6828 | Val Acc: 0.7361 | Train Loss: 0.6694 | Val Loss: 0.5797
Epoch 40 | Train Acc: 0.6825 | Val Acc: 0.7057 | Train Loss: 0.6703 | Val Loss: 0.5930
Epoch 41 | Train Acc: 0.6847 | Val Acc: 0.6962 | Train Loss: 0.6584 | Val Loss: 0.5981
Epoch 42 | Train Acc: 0.6855 | Val Acc: 0.7371 | Train Loss: 0.6646 | Val Loss: 0.5692
Epoch 43 | Train Acc: 0.6761 | Val Acc: 0.6642 | Train Loss: 0.6726 | Val Loss: 0.7111
Epoch 44 | Train Acc: 0.6844 | Val Acc: 0.7317 | Train Loss: 0.6507 | Val Loss: 0.5668
Epoch 45 | Train Acc: 0.6834 | Val Acc: 0.7371 | Train Loss: 0.6466 | Val Loss: 0.5660
Epoch 46 | Train Acc: 0.6810 | Val Acc: 0.6191 | Train Loss: 0.6510 | Val Loss: 0.7062
Epoch 47 | Train Acc: 0.6744 | Val Acc: 0.7041 | Train Loss: 0.6633 | Val Loss: 0.6223
Epoch 48 | Train Acc: 0.6775 | Val Acc: 0.7105 | Train Loss: 0.6559 | Val Loss: 0.6028
Epoch 49 | Train Acc: 0.6874 | Val Acc: 0.6463 | Train Loss: 0.6334 | Val Loss: 0.6503
Epoch 50 | Train Acc: 0.6810 | Val Acc: 0.7373 | Train Loss: 0.6469 | Val Loss: 0.5609
