Experiment 3: replace the output layer and the first two convolutional layers:


Epoch  1 | Train Acc: 0.5516 | Val Acc: 0.6328 | Train Loss: 29.3369 | Val Loss: 5.4693
Epoch  2 | Train Acc: 0.5708 | Val Acc: 0.6571 | Train Loss: 10.5069 | Val Loss: 2.9873
Epoch  3 | Train Acc: 0.5741 | Val Acc: 0.6517 | Train Loss: 6.7931 | Val Loss: 2.5394
Epoch  4 | Train Acc: 0.5903 | Val Acc: 0.6706 | Train Loss: 4.7903 | Val Loss: 1.6521
Epoch  5 | Train Acc: 0.5932 | Val Acc: 0.6817 | Train Loss: 3.6761 | Val Loss: 1.4034
Epoch  6 | Train Acc: 0.5987 | Val Acc: 0.6906 | Train Loss: 2.9927 | Val Loss: 1.2085
Epoch  7 | Train Acc: 0.6106 | Val Acc: 0.6757 | Train Loss: 2.3469 | Val Loss: 1.1496
Epoch  8 | Train Acc: 0.6109 | Val Acc: 0.6926 | Train Loss: 1.9872 | Val Loss: 0.9951
Epoch  9 | Train Acc: 0.6142 | Val Acc: 0.6978 | Train Loss: 1.7099 | Val Loss: 0.8979
Epoch 10 | Train Acc: 0.6210 | Val Acc: 0.6859 | Train Loss: 1.4509 | Val Loss: 0.8869
Epoch 11 | Train Acc: 0.6264 | Val Acc: 0.7091 | Train Loss: 1.2722 | Val Loss: 0.7622
Epoch 12 | Train Acc: 0.6343 | Val Acc: 0.7139 | Train Loss: 1.1156 | Val Loss: 0.7256
Epoch 13 | Train Acc: 0.6414 | Val Acc: 0.6964 | Train Loss: 1.0265 | Val Loss: 0.7351
Epoch 14 | Train Acc: 0.6503 | Val Acc: 0.7162 | Train Loss: 0.9114 | Val Loss: 0.6782
Epoch 15 | Train Acc: 0.6555 | Val Acc: 0.7280 | Train Loss: 0.8524 | Val Loss: 0.6606
Epoch 16 | Train Acc: 0.6635 | Val Acc: 0.7295 | Train Loss: 0.7797 | Val Loss: 0.6334
Epoch 17 | Train Acc: 0.6643 | Val Acc: 0.7299 | Train Loss: 0.7397 | Val Loss: 0.6307
Epoch 18 | Train Acc: 0.6717 | Val Acc: 0.7297 | Train Loss: 0.7029 | Val Loss: 0.6116
Epoch 19 | Train Acc: 0.6831 | Val Acc: 0.7290 | Train Loss: 0.6798 | Val Loss: 0.6021
Epoch 20 | Train Acc: 0.6823 | Val Acc: 0.7329 | Train Loss: 0.6636 | Val Loss: 0.5894
Epoch 21 | Train Acc: 0.6876 | Val Acc: 0.7371 | Train Loss: 0.6446 | Val Loss: 0.5812
Epoch 22 | Train Acc: 0.6956 | Val Acc: 0.6900 | Train Loss: 0.6206 | Val Loss: 0.6130
Epoch 23 | Train Acc: 0.6934 | Val Acc: 0.7027 | Train Loss: 0.6171 | Val Loss: 0.6223
Epoch 24 | Train Acc: 0.7033 | Val Acc: 0.7347 | Train Loss: 0.6030 | Val Loss: 0.5636
Epoch 25 | Train Acc: 0.7003 | Val Acc: 0.7305 | Train Loss: 0.6078 | Val Loss: 0.5656
Epoch 26 | Train Acc: 0.7120 | Val Acc: 0.7419 | Train Loss: 0.5759 | Val Loss: 0.5491
Epoch 27 | Train Acc: 0.7160 | Val Acc: 0.7303 | Train Loss: 0.5754 | Val Loss: 0.5572
Epoch 28 | Train Acc: 0.7173 | Val Acc: 0.7264 | Train Loss: 0.5726 | Val Loss: 0.5597
Epoch 29 | Train Acc: 0.7198 | Val Acc: 0.7534 | Train Loss: 0.5671 | Val Loss: 0.5406
Epoch 30 | Train Acc: 0.7269 | Val Acc: 0.7568 | Train Loss: 0.5548 | Val Loss: 0.5185
Epoch 31 | Train Acc: 0.7223 | Val Acc: 0.7595 | Train Loss: 0.5610 | Val Loss: 0.5173
Epoch 32 | Train Acc: 0.7334 | Val Acc: 0.7613 | Train Loss: 0.5423 | Val Loss: 0.5173
Epoch 33 | Train Acc: 0.7324 | Val Acc: 0.7621 | Train Loss: 0.5440 | Val Loss: 0.5177
Epoch 34 | Train Acc: 0.7381 | Val Acc: 0.7663 | Train Loss: 0.5366 | Val Loss: 0.5030
Epoch 35 | Train Acc: 0.7408 | Val Acc: 0.7228 | Train Loss: 0.5317 | Val Loss: 0.5461
Epoch 36 | Train Acc: 0.7368 | Val Acc: 0.7752 | Train Loss: 0.5293 | Val Loss: 0.4871
Epoch 37 | Train Acc: 0.7433 | Val Acc: 0.7764 | Train Loss: 0.5273 | Val Loss: 0.4947
Epoch 38 | Train Acc: 0.7526 | Val Acc: 0.7705 | Train Loss: 0.5176 | Val Loss: 0.4902
Epoch 39 | Train Acc: 0.7535 | Val Acc: 0.7436 | Train Loss: 0.5129 | Val Loss: 0.5278
Epoch 40 | Train Acc: 0.7550 | Val Acc: 0.7603 | Train Loss: 0.5136 | Val Loss: 0.5089
Epoch 41 | Train Acc: 0.7564 | Val Acc: 0.7699 | Train Loss: 0.5077 | Val Loss: 0.4983
Epoch 42 | Train Acc: 0.7680 | Val Acc: 0.7863 | Train Loss: 0.4835 | Val Loss: 0.4655
Epoch 43 | Train Acc: 0.7746 | Val Acc: 0.7832 | Train Loss: 0.4771 | Val Loss: 0.4779
Epoch 44 | Train Acc: 0.7699 | Val Acc: 0.7846 | Train Loss: 0.4837 | Val Loss: 0.4710
Epoch 45 | Train Acc: 0.7765 | Val Acc: 0.7863 | Train Loss: 0.4759 | Val Loss: 0.4598
Epoch 46 | Train Acc: 0.7775 | Val Acc: 0.7814 | Train Loss: 0.4754 | Val Loss: 0.4628
Epoch 47 | Train Acc: 0.7775 | Val Acc: 0.7885 | Train Loss: 0.4745 | Val Loss: 0.4621
Epoch 48 | Train Acc: 0.7783 | Val Acc: 0.7840 | Train Loss: 0.4704 | Val Loss: 0.4611
Epoch 49 | Train Acc: 0.7795 | Val Acc: 0.7901 | Train Loss: 0.4726 | Val Loss: 0.4546
Epoch 50 | Train Acc: 0.7813 | Val Acc: 0.7913 | Train Loss: 0.4653 | Val Loss: 0.4488
