Experiment 4: replace the output layer and the two last convolutional layers:


Epoch  1 | Train Acc: 0.6094 | Val Acc: 0.6817 | Train Loss: 14.4871 | Val Loss: 0.9703
Epoch  2 | Train Acc: 0.6499 | Val Acc: 0.6871 | Train Loss: 0.9888 | Val Loss: 0.6989
Epoch  3 | Train Acc: 0.6773 | Val Acc: 0.7133 | Train Loss: 0.7220 | Val Loss: 0.6202
Epoch  4 | Train Acc: 0.6906 | Val Acc: 0.7274 | Train Loss: 0.6446 | Val Loss: 0.6248
Epoch  5 | Train Acc: 0.7031 | Val Acc: 0.7188 | Train Loss: 0.6105 | Val Loss: 0.5789
Epoch  6 | Train Acc: 0.7182 | Val Acc: 0.7436 | Train Loss: 0.5808 | Val Loss: 0.5463
Epoch  7 | Train Acc: 0.7250 | Val Acc: 0.7571 | Train Loss: 0.5688 | Val Loss: 0.5244
Epoch  8 | Train Acc: 0.7362 | Val Acc: 0.7665 | Train Loss: 0.5435 | Val Loss: 0.5206
Epoch  9 | Train Acc: 0.7404 | Val Acc: 0.7687 | Train Loss: 0.5369 | Val Loss: 0.5133
Epoch 10 | Train Acc: 0.7504 | Val Acc: 0.7812 | Train Loss: 0.5250 | Val Loss: 0.4845
Epoch 11 | Train Acc: 0.7535 | Val Acc: 0.7667 | Train Loss: 0.5127 | Val Loss: 0.5033
Epoch 12 | Train Acc: 0.7613 | Val Acc: 0.7846 | Train Loss: 0.5103 | Val Loss: 0.4764
Epoch 13 | Train Acc: 0.7669 | Val Acc: 0.7589 | Train Loss: 0.4950 | Val Loss: 0.5013
Epoch 14 | Train Acc: 0.7692 | Val Acc: 0.7887 | Train Loss: 0.4928 | Val Loss: 0.4698
Epoch 15 | Train Acc: 0.7707 | Val Acc: 0.7863 | Train Loss: 0.4856 | Val Loss: 0.4623
Epoch 16 | Train Acc: 0.7780 | Val Acc: 0.7963 | Train Loss: 0.4700 | Val Loss: 0.4502
Epoch 17 | Train Acc: 0.7757 | Val Acc: 0.7919 | Train Loss: 0.4754 | Val Loss: 0.4664
Epoch 18 | Train Acc: 0.7852 | Val Acc: 0.8143 | Train Loss: 0.4632 | Val Loss: 0.4342
Epoch 19 | Train Acc: 0.7881 | Val Acc: 0.8104 | Train Loss: 0.4625 | Val Loss: 0.4350
Epoch 20 | Train Acc: 0.7932 | Val Acc: 0.7992 | Train Loss: 0.4539 | Val Loss: 0.4504
Epoch 21 | Train Acc: 0.7969 | Val Acc: 0.8215 | Train Loss: 0.4454 | Val Loss: 0.4130
Epoch 22 | Train Acc: 0.7944 | Val Acc: 0.8122 | Train Loss: 0.4460 | Val Loss: 0.4198
Epoch 23 | Train Acc: 0.7971 | Val Acc: 0.8092 | Train Loss: 0.4451 | Val Loss: 0.4275
Epoch 24 | Train Acc: 0.7971 | Val Acc: 0.8352 | Train Loss: 0.4424 | Val Loss: 0.3914
Epoch 25 | Train Acc: 0.8007 | Val Acc: 0.8052 | Train Loss: 0.4395 | Val Loss: 0.4174
Epoch 26 | Train Acc: 0.8062 | Val Acc: 0.8330 | Train Loss: 0.4253 | Val Loss: 0.3875
Epoch 27 | Train Acc: 0.8117 | Val Acc: 0.8243 | Train Loss: 0.4238 | Val Loss: 0.4057
Epoch 28 | Train Acc: 0.8077 | Val Acc: 0.8231 | Train Loss: 0.4228 | Val Loss: 0.4019
Epoch 29 | Train Acc: 0.8146 | Val Acc: 0.8215 | Train Loss: 0.4119 | Val Loss: 0.4037
Epoch 30 | Train Acc: 0.8179 | Val Acc: 0.8419 | Train Loss: 0.4118 | Val Loss: 0.3716
Epoch 31 | Train Acc: 0.8168 | Val Acc: 0.8143 | Train Loss: 0.4047 | Val Loss: 0.4121
Epoch 32 | Train Acc: 0.8236 | Val Acc: 0.8485 | Train Loss: 0.3952 | Val Loss: 0.3672
Epoch 33 | Train Acc: 0.8293 | Val Acc: 0.8423 | Train Loss: 0.3886 | Val Loss: 0.3702
Epoch 34 | Train Acc: 0.8290 | Val Acc: 0.8544 | Train Loss: 0.3859 | Val Loss: 0.3579
Epoch 35 | Train Acc: 0.8279 | Val Acc: 0.8338 | Train Loss: 0.3910 | Val Loss: 0.3796
Epoch 36 | Train Acc: 0.8327 | Val Acc: 0.8435 | Train Loss: 0.3815 | Val Loss: 0.3553
Epoch 37 | Train Acc: 0.8306 | Val Acc: 0.8521 | Train Loss: 0.3768 | Val Loss: 0.3539
Epoch 38 | Train Acc: 0.8359 | Val Acc: 0.8465 | Train Loss: 0.3748 | Val Loss: 0.3593
Epoch 39 | Train Acc: 0.8416 | Val Acc: 0.8521 | Train Loss: 0.3640 | Val Loss: 0.3586
Epoch 40 | Train Acc: 0.8445 | Val Acc: 0.8602 | Train Loss: 0.3558 | Val Loss: 0.3325
Epoch 41 | Train Acc: 0.8429 | Val Acc: 0.8201 | Train Loss: 0.3592 | Val Loss: 0.4012
Epoch 42 | Train Acc: 0.8447 | Val Acc: 0.8407 | Train Loss: 0.3536 | Val Loss: 0.3517
Epoch 43 | Train Acc: 0.8469 | Val Acc: 0.8604 | Train Loss: 0.3502 | Val Loss: 0.3253
Epoch 44 | Train Acc: 0.8530 | Val Acc: 0.8701 | Train Loss: 0.3388 | Val Loss: 0.3115
Epoch 45 | Train Acc: 0.8529 | Val Acc: 0.8624 | Train Loss: 0.3361 | Val Loss: 0.3208
Epoch 46 | Train Acc: 0.8555 | Val Acc: 0.8723 | Train Loss: 0.3379 | Val Loss: 0.3091
Epoch 47 | Train Acc: 0.8564 | Val Acc: 0.8743 | Train Loss: 0.3327 | Val Loss: 0.2994
Epoch 48 | Train Acc: 0.8612 | Val Acc: 0.8652 | Train Loss: 0.3216 | Val Loss: 0.3218
Epoch 49 | Train Acc: 0.8610 | Val Acc: 0.8733 | Train Loss: 0.3202 | Val Loss: 0.3063
Epoch 50 | Train Acc: 0.8616 | Val Acc: 0.8731 | Train Loss: 0.3167 | Val Loss: 0.3046
